time,target,value
0,crush_busy,0
0,crush_trv,0
0,crush_q,0
0,shvl_busy0,0
0,shvl_trv0,0
0,shvl_q0,0
0,shvl_busy1,0
0,shvl_trv1,0
0,shvl_q1,0
0,shvl_busy2,0
0,shvl_trv2,0
0,shvl_q2,0
0,shvl_trv0,0
0,shvl_q0,1
0,shvl_trv0,0
0,shvl_q0,2
0,shvl_trv0,0
0,shvl_q0,3
0,shvl_trv1,0
0,shvl_q1,1
0,shvl_trv1,0
0,shvl_q1,2
0,shvl_trv1,0
0,shvl_q1,3
0,shvl_trv2,0
0,shvl_q2,1
0,shvl_trv2,0
0,shvl_q2,2
0,shvl_trv2,0
0,shvl_q2,3
0,shvl_q0,2
0,shvl_busy0,20t11
0,shvl_q1,2
0,shvl_busy1,20t21
0,shvl_q2,2
0,shvl_busy2,20t31
4.20283624604061,crush_trv,1
4.20283624604061,move,20t21,S1toC,3.336707237843783
4.20283624604061,shvl_busy1,0
4.20283624604061,shvl_q1,1
4.20283624604061,shvl_busy1,20t22
4.659321597301742,crush_trv,2
4.659321597301742,move,20t11,S0toC,2.683824755554454
4.659321597301742,shvl_busy0,0
4.659321597301742,shvl_q0,1
4.659321597301742,shvl_busy0,20t12
6.283995428338513,crush_trv,3
6.283995428338513,move,20t31,S2toC,1.7870038135767334
6.283995428338513,shvl_busy2,0
6.283995428338513,shvl_q2,1
6.283995428338513,shvl_busy2,20t32
7.343146352856196,crush_trv,2
7.343146352856196,crush_q,1
7.343146352856196,crush_q,0
7.343146352856196,crush_busy,20t11
7.539543483884392,crush_trv,1
7.539543483884392,crush_q,1
8.070999241915246,crush_trv,0
8.070999241915246,crush_q,2
9.230737646943494,crush_trv,1
9.230737646943494,move,20t22,S1toC,0.8753232467659842
9.230737646943494,shvl_busy1,0
9.230737646943494,shvl_q1,0
9.230737646943494,shvl_busy1,50t23
9.599701775599673,crush_trv,2
9.599701775599673,move,20t12,S0toC,2.542728557802074
9.599701775599673,shvl_busy0,0
9.599701775599673,shvl_q0,0
9.599701775599673,shvl_busy0,50t13
9.721822368236689,shvl_trv0,1
9.721822368236689,move,20t11,CtoS0,4.93281611763228
9.721822368236689,crush_busy,0
